,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
2759,4,2.0,2.0,2.0,215.0,2,90,10
2760,1,1.0,2.0,1.0,140.0,91,1125,0
2761,4,1.0,1.0,2.0,77.0,1,1125,23
2762,5,2.0,1.0,3.0,999.0,7,365,3
2763,5,2.0,1.0,3.0,999.0,7,1125,2
2764,6,3.0,2.5,5.0,700.0,2,5,4
2765,4,1.0,1.0,4.0,105.0,3,1125,12
2766,2,1.0,1.0,1.0,69.0,1,1,11
2767,2,1.0,1.0,1.0,164.0,92,1125,0
2768,2,1.0,1.0,1.0,242.0,92,1125,0
2769,7,3.0,1.5,4.0,150.0,91,1125,14
2770,4,1.0,1.5,3.0,99.0,1,30,54
2771,1,1.0,2.0,1.0,140.0,91,1125,0
2772,1,1.0,2.0,0.0,140.0,90,1125,0
2773,1,1.0,2.0,1.0,60.0,100,1125,0
2774,1,1.0,2.0,1.0,60.0,91,1125,0
2775,1,1.0,2.0,1.0,60.0,91,1125,0
2776,4,1.0,1.0,2.0,150.0,1,1125,24
2777,4,1.0,1.0,2.0,145.0,2,30,23
2778,1,1.0,1.0,1.0,35.0,91,270,0
2779,2,0.0,1.0,1.0,80.0,91,1125,1
2780,2,1.0,1.0,1.0,120.0,3,1125,18
2781,2,1.0,1.0,1.0,119.0,3,1125,9
2782,2,1.0,1.0,1.0,140.0,3,1125,7
2783,2,1.0,2.0,1.0,80.0,91,1125,8
2784,2,1.0,2.0,1.0,69.0,91,1125,13
2785,3,1.0,1.0,1.0,69.0,1,14,31
2786,4,1.0,1.0,2.0,299.0,1,1125,6
2787,3,1.0,1.0,2.0,240.0,3,1125,41
2788,1,1.0,2.0,1.0,56.0,91,1125,4
2789,2,1.0,1.0,1.0,55.0,1,30,27
2790,2,1.0,1.5,1.0,95.0,1,1125,1
2791,4,2.0,1.0,2.0,119.0,92,1125,0
2792,2,1.0,1.0,1.0,95.0,1,14,17
2793,5,2.0,2.0,3.0,500.0,91,91,19
2794,3,1.0,1.0,1.0,330.0,91,1125,0
2795,3,1.0,1.0,1.0,330.0,91,1125,0
2796,3,0.0,1.0,1.0,250.0,91,1125,0
2797,3,1.0,1.0,1.0,330.0,91,1125,1
2798,3,0.0,1.0,1.0,250.0,91,1125,1
2799,3,0.0,1.0,1.0,250.0,91,1125,0
2800,3,0.0,1.0,1.0,250.0,91,1125,3
2801,3,0.0,1.0,1.0,250.0,91,1125,1
2802,4,2.0,2.0,2.0,400.0,91,1125,1
2803,4,2.0,2.0,2.0,400.0,91,1125,4
2804,3,0.0,1.0,1.0,250.0,91,1125,0
2805,3,0.0,1.0,1.0,250.0,91,1125,0
2806,2,1.0,1.0,1.0,65.0,91,1125,3
2807,2,1.0,1.0,1.0,68.0,91,1125,4
2808,4,2.0,1.0,2.0,250.0,91,1125,4
2809,3,2.0,1.0,2.0,172.0,91,1125,29
2810,2,1.0,1.5,1.0,80.0,91,1125,0
2811,2,1.0,1.5,1.0,80.0,91,1125,1
2812,2,1.0,1.0,1.0,47.0,1,31,12
2813,2,1.0,1.0,1.0,47.0,1,30,7
2814,2,1.0,1.0,1.0,57.0,1,31,10
2815,6,2.0,1.0,5.0,170.0,1,1125,44
2816,2,0.0,1.0,1.0,150.0,1,1125,14
2817,4,1.0,1.0,1.0,175.0,1,1125,15
2818,2,1.0,1.0,1.0,171.0,92,1125,0
2819,4,2.0,1.0,2.0,400.0,91,1125,1
2820,3,1.0,1.0,1.0,330.0,91,1125,0
2821,3,1.0,1.0,1.0,330.0,91,1125,0
2822,4,2.0,2.0,2.0,400.0,91,1125,2
2823,3,1.0,1.0,1.0,330.0,91,1125,0
2824,7,3.0,2.0,3.0,750.0,91,1125,0
2825,3,0.0,1.0,1.0,250.0,91,1125,0
2826,3,1.0,1.0,1.0,330.0,91,1125,0
2827,3,1.0,1.0,1.0,330.0,91,1125,0
2828,3,1.0,1.0,1.0,330.0,91,1125,0
2829,3,1.0,1.0,1.0,330.0,91,1125,0
2830,3,0.0,1.0,1.0,250.0,91,1125,1
2831,3,0.0,1.0,1.0,250.0,91,1125,1
2832,3,0.0,1.0,1.0,250.0,91,1125,0
2833,3,0.0,1.0,1.0,250.0,91,1125,0
2834,3,0.0,1.0,1.0,250.0,91,1125,1
2835,3,0.0,1.0,1.0,250.0,91,1125,0
2836,3,1.0,1.0,1.0,330.0,91,1125,0
2837,3,1.0,1.0,1.0,330.0,91,1125,4
2838,3,0.0,1.0,1.0,250.0,91,1125,1
2839,3,0.0,1.0,1.0,250.0,91,1125,4
2840,3,0.0,1.0,1.0,250.0,91,1125,6
2841,3,0.0,1.0,1.0,250.0,91,1125,4
2842,3,0.0,1.0,1.0,250.0,91,1125,0
2843,3,1.0,1.0,1.0,330.0,91,1125,0
2844,4,2.0,2.0,2.0,400.0,91,1125,2
2845,4,2.0,2.0,2.0,400.0,91,1125,2
2846,3,0.0,1.0,1.0,250.0,91,1125,3
2847,7,3.0,2.0,3.0,750.0,91,1125,1
2848,3,0.0,1.0,1.0,250.0,91,1125,4
2849,3,0.0,1.0,1.0,250.0,91,1125,0
2850,3,0.0,1.0,1.0,250.0,91,1125,1
2851,3,1.0,1.0,1.0,330.0,91,1125,0
2852,4,2.0,2.0,2.0,400.0,91,1125,3
2853,3,1.0,1.5,1.0,80.0,91,1125,27
2854,2,1.0,1.0,1.0,60.0,1,30,22
2855,2,1.0,1.0,5.0,50.0,91,91,0
2856,1,1.0,2.0,1.0,35.0,120,1125,4
2857,3,1.0,3.0,1.0,185.0,1,30,0
