,host_response_rate,host_acceptance_rate,host_listings_count,accommodates,room_type,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews,latitude,longitude,city,zipcode,state
3038,100%,,2.0,2,Private room,1.0,1.0,1.0,40.0,,,2,1125,22,42.27494,-71.13682,Boston,02131,MA
3039,100%,,0.0,4,Private room,2.0,1.5,2.0,85.0,$40.00,$0.00,3,31,5,42.313109999999995,-71.12774,Boston,02130,MA
3040,100%,,1.0,6,Entire home/apt,3.0,1.0,3.0,189.0,$95.00,,2,28,11,42.306670000000004,-71.07857,Boston,02121,MA
3041,100%,,9.0,2,Private room,1.0,2.0,1.0,61.0,$35.00,$0.00,2,30,5,42.34932,-71.13667,Allston,02134,MA
3042,100%,,9.0,2,Private room,1.0,2.0,1.0,61.0,$35.00,,2,30,7,42.35037,-71.1373,Allston,02134,MA
3043,100%,,9.0,2,Private room,1.0,2.0,1.0,61.0,$35.00,,2,30,8,42.34905,-71.13909,Allston,02134,MA
3044,100%,,9.0,2,Private room,1.0,2.0,1.0,61.0,$35.00,,2,30,9,42.34957,-71.13705,Allston,02134,MA
3045,100%,,9.0,2,Private room,1.0,2.0,1.0,50.0,$35.00,,2,30,3,42.3589,-71.12746,Boston,02134,MA
3046,100%,,9.0,2,Private room,1.0,2.0,1.0,65.0,$35.00,,2,30,9,42.34867,-71.13683,Allston,02134,MA
3047,80%,,3.0,3,Entire home/apt,1.0,1.0,0.0,110.0,$75.00,$200.00,2,1125,7,42.34278,-71.07295,Boston,02118,MA
3048,,,0.0,4,Entire home/apt,2.0,2.0,4.0,158.0,$100.00,$0.00,91,1125,1,42.33685,-71.04345,Boston,02127,MA
3049,100%,,1.0,2,Private room,1.0,1.0,1.0,70.0,$30.00,$100.00,3,1125,5,42.367329999999995,-71.03103,Boston,02128,MA
3050,100%,,10.0,6,Entire home/apt,3.0,1.5,3.0,325.0,$150.00,$200.00,29,1125,0,42.29916,-71.06039,Boston,02122,MA
3051,100%,,1.0,2,Entire home/apt,1.0,1.0,1.0,125.0,$0.00,,2,27,5,42.28993,-71.04819,Boston,02122,MA
3052,100%,,10.0,2,Private room,1.0,2.0,1.0,75.0,$40.00,,2,28,13,42.30003,-71.06092,Boston,02122,MA
3053,100%,,15.0,1,Shared room,1.0,2.0,5.0,60.0,$30.00,,1,1125,8,42.32506,-71.10327,Boston,02130,MA
3054,97%,,1068.0,2,Entire home/apt,0.0,1.0,1.0,96.0,$150.00,,92,1125,0,42.35233,-71.04399000000001,Boston,MA 02210,MA
3055,97%,,1068.0,2,Entire home/apt,0.0,1.0,1.0,119.0,$150.00,,92,1125,1,42.343540000000004,-71.08344,Boston,MA 02115,MA
3056,100%,,3.0,2,Entire home/apt,1.0,1.0,1.0,145.0,$150.00,$0.00,31,190,0,42.36596,-71.05741,Boston,02113,MA
3057,,,1.0,6,Entire home/apt,2.0,3.0,3.0,300.0,,,91,150,0,42.354040000000005,-71.06258000000001,Boston,02111,MA
3058,100%,,29.0,4,Entire home/apt,2.0,2.0,2.0,1599.0,$110.00,$500.00,30,1125,4,42.341429999999995,-71.04998,Boston,02127,MA
3059,99%,,12.0,1,Private room,0.0,1.0,0.0,100.0,$45.00,$300.00,1,1125,10,42.34868,-71.07092,Boston,02116,MA
3060,75%,,5.0,1,Private room,1.0,1.0,1.0,55.0,,,91,1125,0,42.3439,-71.15325,Boston,02135,MA
3061,,,1.0,6,Entire home/apt,2.0,3.0,3.0,325.0,,,91,180,0,42.35344,-71.06218,Boston,02111,MA
3062,100%,,0.0,1,Private room,1.0,2.0,1.0,75.0,$10.00,$0.00,1,1125,13,42.325790000000005,-71.08910999999999,Boston,02119,MA
3063,100%,,29.0,2,Private room,1.0,1.0,1.0,89.0,$39.00,$100.00,91,1125,2,42.33246,-71.09591999999999,Boston,02120,MA
3064,100%,,1.0,2,Entire home/apt,1.0,1.0,1.0,195.0,$85.00,$250.00,2,120,12,42.3671,-71.05297,Boston,02113,MA
3065,100%,,3.0,3,Entire home/apt,0.0,1.0,1.0,200.0,,,28,1125,1,42.35375,-71.07533000000001,Boston,02116,MA
