,host_response_rate,host_acceptance_rate,host_listings_count,accommodates,room_type,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews,latitude,longitude,city,zipcode,state
195,100%,,4.0,8,Private room,3.0,2.0,4.0,139.0,$75.00,$200.00,2,14,49,42.281000000000006,-71.0941,Boston,02126,MA
196,100%,,4.0,4,Private room,1.0,1.0,3.0,72.0,$25.00,$100.00,2,14,89,42.27921,-71.09527,Boston,02126,MA
197,90%,,4.0,2,Entire home/apt,1.0,1.0,1.0,175.0,,$500.00,60,1125,8,42.35042,-71.09295,Boston,02215,MA
198,,,2.0,1,Private room,1.0,1.0,1.0,95.0,$50.00,$0.00,4,1125,27,42.31804,-71.11686999999999,Boston,02130,MA
199,100%,,1.0,2,Private room,1.0,1.0,1.0,60.0,,,91,150,13,42.31912,-71.05745,Boston,02125,MA
200,100%,,8.0,6,Entire home/apt,2.0,1.0,2.0,91.0,$20.00,$0.00,91,1125,33,42.23597,-71.13150999999999,Boston,02136,MA
201,100%,,25.0,1,Private room,1.0,1.0,1.0,65.0,$50.00,$500.00,30,1124,7,42.28819,-71.06921,Boston,02124,MA
202,100%,,1.0,3,Entire home/apt,1.0,1.0,1.0,125.0,$0.00,$250.00,3,180,116,42.28703,-71.13354,Boston,02131,MA
203,100%,,6.0,4,Entire home/apt,1.0,1.0,1.0,120.0,$30.00,$0.00,91,1125,201,42.31503,-71.06214,Boston,02125,MA
204,100%,,2.0,2,Entire home/apt,1.0,1.0,1.0,175.0,$35.00,$125.00,32,95,252,42.352579999999996,-71.0826,Boston,02116,MA
205,100%,,440.0,5,Entire home/apt,2.0,2.0,3.0,298.0,$100.00,,29,1125,28,42.3433,-71.10016,Boston,02215,MA
206,100%,,11.0,2,Private room,1.0,1.0,1.0,95.0,$30.00,$350.00,2,1124,230,42.32953,-71.09275,Boston,02119,MA
207,100%,,6.0,2,Private room,1.0,2.5,1.0,70.0,$20.00,$0.00,91,1125,92,42.31322,-71.0617,Boston,02125,MA
208,100%,,1.0,2,Entire home/apt,1.0,1.0,1.0,275.0,$80.00,$200.00,3,365,109,42.35669,-71.07297,Boston,02114,MA
209,,,1.0,3,Entire home/apt,1.0,1.0,1.0,550.0,$60.00,,91,1125,0,42.35155,-71.06815999999999,Boston,02116,MA
210,100%,,1.0,4,Entire home/apt,0.0,1.0,2.0,90.0,$60.00,"$1,000.00",2,1125,101,42.31943,-71.09432,Boston,02119,MA
211,100%,,1.0,8,Entire home/apt,3.0,1.0,4.0,260.0,,,2,1125,46,42.35457,-71.15949,Boston,02135,MA
212,,,1.0,4,Entire home/apt,1.0,1.0,2.0,248.0,$65.00,,2,365,27,42.35049,-71.08825999999999,Boston,02115,MA
213,,,1.0,1,Private room,1.0,1.0,1.0,98.0,$30.00,$0.00,31,1125,5,42.305,-71.10719,Boston,02130,MA
214,100%,,1.0,3,Entire home/apt,1.0,1.0,1.0,288.0,$79.00,$200.00,2,90,248,42.3578,-71.06304,Boston,02114,MA
215,,,1.0,4,Entire home/apt,1.0,1.0,2.0,119.0,,,1,1125,4,42.29714,-71.15829000000001,Brookline,02467,MA
216,94%,,25.0,6,Entire home/apt,3.0,1.0,3.0,150.0,$175.00,$100.00,32,90,31,42.32328,-71.05986,Boston,02125,MA
217,,,1.0,2,Entire home/apt,1.0,1.0,1.0,100.0,,,1,1125,0,42.35844,-71.06153,Boston,02108,MA
218,100%,,2.0,1,Private room,1.0,2.5,1.0,50.0,$0.00,$0.00,2,1125,22,42.28028,-71.13587,Boston,02131,MA
219,100%,,2.0,4,Entire home/apt,3.0,1.0,3.0,120.0,$75.00,$0.00,28,500,69,42.32567,-71.10543,Boston,02130,MA
220,67%,,1.0,5,Entire home/apt,4.0,3.0,4.0,325.0,$90.00,$300.00,3,1125,16,42.3089,-71.11869,Boston,02130,MA
221,,,1.0,6,Entire home/apt,2.0,1.0,2.0,125.0,$60.00,$200.00,1,100,166,42.29745,-71.0585,Boston,02122,MA
222,91%,,30.0,1,Private room,1.0,1.0,1.0,38.0,$40.00,$300.00,29,1125,6,42.31793,-71.07923000000001,Boston,02119,MA
223,100%,,1.0,2,Private room,1.0,1.0,1.0,70.0,$50.00,$100.00,29,365,51,42.35573,-71.13072,Boston,02134,MA
224,100%,,3.0,1,Private room,1.0,1.0,1.0,88.0,,,6,92,218,42.299820000000004,-71.11256999999999,Boston,02130,MA
225,0%,,1.0,2,Entire home/apt,0.0,1.0,1.0,100.0,$70.00,$200.00,28,1125,19,42.34645,-71.1349,Boston,02134,MA
226,91%,,30.0,1,Private room,1.0,1.0,1.0,33.0,$40.00,$300.00,29,1000,0,42.31755,-71.07963000000001,Boston,02119,MA
227,100%,,1.0,2,Private room,1.0,1.5,1.0,95.0,$25.00,,2,1125,201,42.329229999999995,-71.07976,Boston,02119,MA
228,100%,,3.0,7,Entire home/apt,4.0,3.0,5.0,250.0,$250.00,"$1,000.00",31,365,273,42.37191,-71.06333000000001,Boston,02129,MA
229,100%,,3.0,2,Entire home/apt,0.0,1.0,1.0,179.0,$90.00,$250.00,91,180,177,42.34496,-71.10453000000001,Boston,02215,MA
230,100%,,4.0,2,Private room,1.0,1.0,1.0,210.0,$25.00,,2,21,2,42.37644,-71.06535,Boston,02129,MA
231,100%,,1.0,4,Entire home/apt,1.0,1.0,1.0,225.0,$50.00,$150.00,28,365,235,42.35764,-71.0657,Boston,02114,MA
232,100%,,440.0,3,Entire home/apt,1.0,1.0,2.0,213.0,$100.00,,29,1125,8,42.34325,-71.10065999999999,Boston,02215,MA
233,100%,,440.0,3,Entire home/apt,1.0,1.0,2.0,213.0,$100.00,,29,1125,9,42.34355,-71.10237,Boston,02215,MA
234,,,2.0,6,Entire home/apt,2.0,1.0,2.0,112.0,$60.00,$188.00,7,1125,1,42.36509,-71.11964,Boston,02163,MA
235,100%,,1.0,4,Private room,2.0,1.0,2.0,85.0,$25.00,$0.00,1,31,124,42.311679999999996,-71.10613000000001,Boston (Jamaica Plain),02130,MA
236,100%,,1.0,4,Private room,1.0,2.5,3.0,52.0,$25.00,$100.00,28,365,91,42.386790000000005,-71.00301999999999,Boston,02128,MA
237,100%,,3.0,2,Private room,1.0,1.5,2.0,85.0,$15.00,$0.00,2,1125,52,42.291109999999996,-71.13134000000001,Boston,02131,MA
238,100%,,1.0,5,Entire home/apt,2.0,1.0,2.0,120.0,$80.00,$250.00,32,1124,341,42.33763,-71.07395,Boston,02118,MA
239,100%,,21.0,3,Entire home/apt,1.0,1.0,1.0,195.0,$80.00,$450.00,2,75,272,42.3507,-71.0907,Boston,02115,MA
240,,,5.0,2,Private room,1.0,1.0,1.0,50.0,,,1,10,220,42.295590000000004,-71.11941999999999,Boston,02131,MA
241,,,5.0,2,Private room,1.0,1.0,2.0,50.0,,,1,10,234,42.29553,-71.11929,Boston,02131,MA
242,100%,,2.0,2,Private room,1.0,1.0,1.0,120.0,,,2,1125,179,42.31633,-71.0991,Boston,02119,MA
243,,,5.0,2,Private room,1.0,1.0,1.0,50.0,,,1,10,189,42.29572,-71.11941999999999,Boston,02131,MA
244,100%,,440.0,5,Entire home/apt,2.0,2.0,3.0,298.0,$100.00,,91,1125,18,42.34517,-71.1005,Boston,02215,MA
245,92%,,25.0,2,Entire home/apt,1.0,1.0,1.0,289.0,$100.00,$0.00,9,1125,69,42.35448,-71.06130999999999,Boston,02108,MA
246,,,1.0,4,Entire home/apt,1.0,1.0,1.0,250.0,$100.00,$200.00,2,7,3,42.343990000000005,-71.08232,Boston,02115,MA
247,,,2.0,2,Private room,1.0,2.0,1.0,85.0,$10.00,,1,1125,26,42.28175,-71.14031999999999,Boston,02131,MA
248,92%,,25.0,2,Entire home/apt,1.0,1.0,1.0,229.0,$100.00,$0.00,9,1125,52,42.36596,-71.05268000000001,Boston,02109,MA
249,100%,,3.0,7,Entire home/apt,3.0,1.5,3.0,265.0,$69.00,$425.00,1,29,508,42.33502,-71.05488000000001,Boston,02127,MA
250,100%,,2.0,2,Entire home/apt,1.0,1.0,1.0,125.0,$30.00,$200.00,3,1125,247,42.30236,-71.11491,Boston,02130,MA
251,92%,,25.0,2,Entire home/apt,1.0,1.0,1.0,279.0,$100.00,$0.00,9,1125,46,42.35631,-71.06134,Boston,02108,MA
252,,,2.0,8,Entire home/apt,3.0,2.5,3.0,200.0,$175.00,$500.00,2,1125,10,42.31162,-71.1091,Boston,02130,MA
253,100%,,440.0,3,Entire home/apt,1.0,1.0,2.0,239.0,$100.00,,29,1125,1,42.35272,-71.06371,Boston,02116,MA
254,,,1.0,2,Entire home/apt,1.0,1.0,1.0,225.0,$30.00,$100.00,2,365,15,42.3533,-71.07271999999999,Boston,02116,MA
255,92%,,25.0,2,Entire home/apt,0.0,1.0,1.0,259.0,$100.00,$0.00,9,1125,21,42.36739,-71.0524,Boston,02109,MA
256,100%,,2.0,2,Private room,1.0,1.0,1.0,99.0,,,2,1125,125,42.31825,-71.05789,Boston,02125,MA
257,100%,,2.0,2,Private room,1.0,1.0,2.0,75.0,,,1,7,65,42.31739,-71.10003,Boston,02119,MA
258,100%,,2.0,2,Private room,1.0,1.0,1.0,98.0,$50.00,$0.00,2,90,38,42.313,-71.10931,Jamaica Plain,02130,MA
259,,,1.0,4,Entire home/apt,2.0,1.0,2.0,250.0,,,1,1125,0,42.34962,-71.09322,Boston,02215,MA
260,100%,,1.0,2,Private room,1.0,1.0,1.0,80.0,,,2,7,141,42.303979999999996,-71.10449,Boston,02130,MA
261,100%,,11.0,3,Private room,1.0,1.0,1.0,91.0,$35.00,$350.00,2,1120,306,42.32943,-71.09308,Boston,02119,MA
262,91%,,11.0,4,Entire home/apt,0.0,1.0,0.0,175.0,$140.00,$0.00,28,1125,66,42.34067,-71.0769,Boston,02118,MA
263,,,1.0,2,Entire home/apt,1.0,1.0,1.0,175.0,$100.00,$500.00,1,6,7,42.331790000000005,-71.03819,Boston,02127,MA
264,,,1.0,2,Entire home/apt,0.0,1.0,1.0,90.0,,,1,1125,4,42.33678,-71.15236999999999,Boston,02135,MA
265,,,1.0,4,Entire home/apt,2.0,2.5,2.0,280.0,$100.00,$500.00,3,1125,8,42.33814,-71.07563,Boston,02118,MA
266,,,4.0,2,Private room,1.0,1.5,1.0,100.0,$0.00,$0.00,5,999,1,42.39067,-71.00386,Boston,02128,MA
267,,,4.0,1,Private room,1.0,1.0,1.0,170.0,$0.00,$0.00,3,9999,5,42.38921,-71.00268,Boston,02128,MA
268,100%,,2.0,2,Private room,1.0,1.0,1.0,71.0,$50.00,$200.00,2,14,105,42.30641,-71.11151,Boston,02130,MA
269,,,1.0,2,Private room,1.0,2.0,1.0,150.0,,,1,1125,0,42.31158,-71.11171,Boston,02130,MA
270,91%,,11.0,7,Entire home/apt,2.0,1.0,3.0,300.0,$160.00,$0.00,28,1125,137,42.34094,-71.07704,Boston,02118,MA
271,91%,,11.0,4,Entire home/apt,1.0,1.0,2.0,175.0,$125.00,,28,1125,77,42.34237,-71.0756,Boston,02118,MA
272,,,1.0,3,Entire home/apt,1.0,1.0,1.0,259.0,$50.00,$200.00,5,1125,43,42.354690000000005,-71.08154,Boston,02116,MA
273,83%,,2.0,5,Entire home/apt,3.0,2.0,4.0,138.0,$150.00,"$2,000.00",60,220,8,42.35365,-71.14827,Boston,02135,MA
274,100%,,440.0,5,Entire home/apt,2.0,2.0,3.0,312.0,$100.00,,29,1125,7,42.35158,-71.06173000000001,Boston,02111,MA
275,100%,,11.0,1,Private room,1.0,1.0,1.0,92.0,$30.00,$350.00,2,1124,224,42.32821,-71.09265,Boston,02119,MA
276,100%,,2.0,1,Private room,1.0,1.5,1.0,50.0,$0.00,$0.00,2,1125,32,42.27897,-71.13671,Boston,02131,MA
277,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1125,84,42.36081,-71.06419,Boston,02114,MA
278,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1125,75,42.34362,-71.0773,Boston,02116,MA
279,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$85.00,,1,1125,88,42.34468,-71.07762,Boston,02116,MA
280,100%,,440.0,5,Entire home/apt,2.0,2.0,3.0,289.0,$100.00,,91,1125,1,42.3639,-71.06997,Boston,02114,MA
281,100%,,440.0,3,Entire home/apt,1.0,1.0,2.0,209.0,$100.00,,29,1125,1,42.363409999999995,-71.06763000000001,Boston,02114,MA
282,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1124,103,42.35011,-71.0837,Boston,02116,MA
283,92%,,25.0,2,Entire home/apt,0.0,1.0,1.0,259.0,$100.00,$0.00,9,1125,44,42.355920000000005,-71.05977,Boston,02108,MA
284,100%,,440.0,3,Entire home/apt,1.0,1.0,2.0,239.0,$100.00,,29,1125,3,42.35283,-71.06358,Boston,02111,MA
285,100%,,2.0,6,Entire home/apt,2.0,2.0,3.0,329.0,$99.00,$0.00,3,365,39,42.378479999999996,-71.06497,Boston,02129,MA
286,100%,,1.0,11,Entire home/apt,5.0,3.5,5.0,250.0,$200.00,$800.00,32,1125,68,42.313590000000005,-71.12262,Boston,02130,MA
287,100%,,10.0,6,Entire home/apt,4.0,2.0,6.0,350.0,$200.00,$500.00,28,1125,33,42.35768,-71.12937,Boston,02134,MA
288,100%,,1.0,2,Private room,1.0,1.0,1.0,38.0,,,1,5,204,42.27175,-71.16148000000001,Boston,02132,MA
289,100%,,11.0,1,Private room,1.0,1.0,1.0,63.0,$30.00,$350.00,2,1124,257,42.329609999999995,-71.09340999999999,Boston,02119,MA
290,100%,,6.0,8,Entire home/apt,3.0,1.5,4.0,269.0,$95.00,,3,90,86,42.32405,-71.09069000000001,Boston,02119,MA
291,100%,,7.0,2,Entire home/apt,1.0,1.0,1.0,195.0,$125.00,$400.00,3,1123,16,42.34183,-71.0724,Boston,02118,MA
292,100%,,11.0,3,Entire home/apt,0.0,1.0,2.0,130.0,$35.00,$300.00,2,1120,448,42.32953,-71.09199,Boston,02119,MA
293,100%,,15.0,5,Entire home/apt,2.0,1.0,3.0,159.0,$95.00,$300.00,28,365,154,42.363890000000005,-71.05199,Boston,02113,MA
294,100%,,15.0,6,Entire home/apt,2.0,1.0,3.0,159.0,$95.00,$300.00,28,365,160,42.36381,-71.05341999999999,Boston,02113,MA
295,100%,,15.0,5,Entire home/apt,2.0,1.0,3.0,289.0,$95.00,$200.00,28,365,136,42.36395,-71.05159,Boston,02113,MA
296,100%,,10.0,4,Entire home/apt,1.0,1.0,2.0,85.0,$40.00,$100.00,91,1125,158,42.34715,-71.09299,Boston,02215,MA
297,94%,,12.0,2,Entire home/apt,1.0,1.0,0.0,118.0,$125.00,$500.00,28,190,6,42.364670000000004,-71.06844,Boston,02114,MA
298,100%,,15.0,1,Entire home/apt,1.0,1.0,1.0,89.0,$75.00,$200.00,2,180,92,42.36322,-71.05145,Boston,02113,MA
299,100%,,1.0,9,Entire home/apt,4.0,2.0,4.0,195.0,$50.00,,2,1125,189,42.30455,-71.11553,Boston,02130,MA
300,,,1.0,6,Entire home/apt,2.0,1.5,2.0,199.0,$50.00,$200.00,1,14,3,42.332409999999996,-71.05115,Boston,02127,MA
301,100%,,3.0,1,Private room,1.0,1.0,1.0,90.0,$20.00,$0.00,2,7,94,42.31483,-71.11295,Boston,02130,MA
302,91%,,30.0,1,Private room,1.0,2.0,1.0,36.0,$40.00,$300.00,29,1125,7,42.31646,-71.07952,Boston,02119,MA
303,91%,,30.0,1,Private room,1.0,1.0,1.0,36.0,$40.00,$300.00,29,1125,1,42.31736,-71.07972,Boston,02119,MA
304,100%,,19.0,4,Entire home/apt,2.0,2.0,3.0,310.0,$0.00,$0.00,30,1125,13,42.36416,-71.06812,Boston,02114,MA
305,,,1.0,2,Private room,1.0,1.0,1.0,100.0,$20.00,,1,20,13,42.34357,-71.08195,Boston,02115,MA
306,100%,,3.0,8,Entire home/apt,2.0,1.0,7.0,250.0,$130.00,,1,1125,165,42.37911,-71.03406,Boston,02128,MA
307,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1125,81,42.3449,-71.07685,Boston,02116,MA
308,91%,,30.0,1,Private room,1.0,2.0,1.0,36.0,$40.00,$300.00,29,1000,4,42.31644,-71.08073,Boston,02119,MA
309,,,1.0,2,Private room,1.0,1.0,1.0,100.0,$20.00,$400.00,3,1125,0,42.33471,-71.1065,波士顿,02115,MA
310,89%,,3.0,1,Entire home/apt,1.0,1.0,1.0,49.0,,,60,1125,9,42.34425,-71.15592,Boston,02135,MA
311,100%,,1.0,4,Entire home/apt,2.0,1.5,2.0,305.0,$100.00,$100.00,3,365,66,42.36114,-71.06521,Boston,02114,MA
312,,,1.0,3,Entire home/apt,1.0,1.0,2.0,250.0,$100.00,$500.00,1,1125,1,42.33925,-71.1596,Boston,02135,MA
313,100%,,2.0,2,Private room,1.0,1.0,1.0,65.0,$0.00,$300.00,32,1125,22,42.34919,-71.16348,Boston,02135,MA
314,30%,,1.0,7,Entire home/apt,2.0,2.0,3.0,135.0,$150.00,$100.00,3,1125,105,42.25486,-71.12737,Boston,02136,MA
315,,,5.0,2,Private room,1.0,2.0,1.0,41.0,$30.00,$0.00,5,1125,3,42.359770000000005,-71.13535,Boston,02134,MA
316,100%,,2.0,2,Private room,1.0,1.0,1.0,65.0,$0.00,$300.00,32,1125,24,42.34998,-71.1645,Boston ,02135,MA
317,90%,,1.0,1,Private room,10.0,1.0,1.0,24.0,$20.00,$0.00,25,1125,13,42.2767,-71.08145,Boston,02126,MA
318,,,1.0,4,Entire home/apt,1.0,1.0,2.0,200.0,$30.00,,1,1125,5,42.35588,-71.07261,Boston,02108,MA
319,,,1.0,2,Entire home/apt,0.0,1.5,1.0,200.0,$35.00,,1,1125,1,42.36403,-71.05949,Boston,02114,MA
320,100%,,2.0,2,Private room,1.0,1.5,1.0,130.0,,$100.00,2,1125,270,42.33569,-71.05127,Boston,02127,MA
321,100%,,2.0,2,Private room,1.0,2.5,1.0,122.0,,$100.00,2,1125,205,42.33775,-71.05145,Boston,02127,MA
322,,,1.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$50.00,,2,7,8,42.35383,-71.07670999999999,Boston,02116,MA
323,,,,2,Entire home/apt,0.0,1.0,2.0,99.0,$99.00,$0.00,180,1124,324,42.35049,-71.13328,Boston,02134,MA
324,100%,,19.0,3,Entire home/apt,1.0,1.0,2.0,195.0,$0.00,$0.00,30,1125,3,42.36401,-71.06782,Boston,02114,MA
325,90%,,2.0,4,Entire home/apt,1.0,1.0,2.0,150.0,$60.00,$100.00,2,366,233,42.2953,-71.05953000000001,Boston,02122,MA
326,,,1.0,2,Entire home/apt,2.0,1.0,1.0,250.0,,$200.00,2,1125,6,42.36057,-71.06549,Boston,02114,MA
327,100%,,1.0,3,Entire home/apt,2.0,1.0,2.0,200.0,$50.00,$100.00,2,1125,90,42.35975,-71.06618,Boston,02114,MA
328,100%,,1.0,4,Entire home/apt,2.0,1.5,2.0,300.0,$80.00,$500.00,2,1125,109,42.33484,-71.02974,Boston,02127,MA
329,100%,,2.0,8,Entire home/apt,3.0,1.5,4.0,88.0,$0.00,$300.00,1,50,218,42.359429999999996,-71.13342,Boston,02134,MA
330,100%,,2.0,2,Private room,1.0,1.0,1.0,60.0,$25.00,$0.00,3,90,21,42.31258,-71.10784,Boston,02130,MA
331,97%,,4.0,2,Private room,1.0,1.0,1.0,76.0,$0.00,$0.00,2,1125,120,42.32953,-71.05844,Boston,02127,MA
332,100%,,6.0,2,Entire home/apt,2.0,1.0,2.0,147.0,,$350.00,30,1125,22,42.36079,-71.06711,Boston,02114,MA
333,100%,,4.0,4,Entire home/apt,2.0,1.5,2.0,500.0,$115.00,$500.00,3,365,50,42.34002,-71.08161,Boston,02118,MA
334,,,1.0,10,Entire home/apt,5.0,2.5,5.0,250.0,$125.00,$500.00,5,1125,3,42.31868,-71.10033,Boston,02119,MA
335,100%,,1.0,4,Entire home/apt,2.0,1.0,2.0,180.0,$85.00,$125.00,2,31,207,42.30503,-71.10333,Boston,02130,MA
336,,,1.0,1,Private room,1.0,1.0,1.0,75.0,,$800.00,1000,1000,0,42.328959999999995,-71.10728,Boston,02120,MA
337,100%,,1.0,12,Entire home/apt,3.0,3.5,6.0,350.0,$100.00,,2,1125,9,42.3248,-71.09340999999999,Boston,02119,MA
338,91%,,30.0,1,Private room,1.0,1.0,1.0,42.0,$50.00,$300.00,30,1125,6,42.3163,-71.08118,Boston,02119,MA
339,100%,,7.0,2,Entire home/apt,1.0,1.0,1.0,62.0,$65.00,$350.00,31,365,81,42.38619,-71.00461999999999,Boston,02128,MA
340,100%,,5.0,6,Entire home/apt,3.0,1.0,4.0,110.0,$50.00,$150.00,2,1125,247,42.313390000000005,-71.06526,Boston,02125,MA
341,0%,,2.0,4,Entire home/apt,1.0,1.0,1.0,249.0,$100.00,$300.00,3,300,46,42.35839,-71.0621,Boston,02108,MA
342,100%,,1.0,3,Entire home/apt,2.0,1.0,2.0,130.0,$150.00,,28,1125,22,42.28626,-71.13707,Boston,02131,MA
343,,,1.0,4,Entire home/apt,2.0,1.0,2.0,195.0,$45.00,,2,1125,27,42.38364,-71.0001,Boston,02128,MA
344,,,1.0,2,Entire home/apt,1.0,1.0,1.0,240.0,$40.00,,2,1125,1,42.36509,-71.05553,Boston,02113,MA
345,100%,,1.0,1,Private room,1.0,1.0,1.0,82.0,$25.00,$100.00,2,60,59,42.311690000000006,-71.10116,Boston,02130,MA
346,100%,,4.0,6,Entire home/apt,3.0,2.0,3.0,285.0,$135.00,$0.00,3,29,110,42.33085,-71.09655,Boston,02119,MA
347,100%,,4.0,4,Entire home/apt,0.0,1.0,2.0,159.0,$85.00,$0.00,3,60,120,42.32827,-71.09443,Boston,02119,MA
348,100%,,1.0,5,Entire home/apt,2.0,1.0,3.0,185.0,$85.00,$0.00,2,8,176,42.345490000000005,-71.0791,Boston,02116,MA
349,,,1.0,2,Entire home/apt,1.0,1.0,1.0,225.0,,,3,6,1,42.337140000000005,-71.05199,Boston,02127,MA
350,60%,,5.0,2,Private room,1.0,1.0,1.0,46.0,$50.00,$100.00,2,40,110,42.3119,-71.10315,Boston,02130,MA
351,80%,,2.0,6,Entire home/apt,2.0,1.0,2.0,166.0,$75.00,$100.00,3,1125,125,42.34152,-71.14918,Brighton,02135,MA
352,100%,,1.0,2,Private room,1.0,1.0,1.0,110.0,$90.00,$0.00,2,1125,72,42.36696,-71.03278,Boston,02128,MA
353,,,1.0,2,Entire home/apt,1.0,1.0,1.0,295.0,,,30,120,7,42.35842,-71.06891,Boston,02108,MA
354,60%,,5.0,2,Private room,1.0,1.0,0.0,81.0,$65.00,$100.00,91,1125,35,42.31315,-71.10479000000001,Boston,02130,MA
355,91%,,6.0,3,Entire home/apt,1.0,1.0,2.0,115.0,$75.00,$250.00,28,1125,86,42.28168,-71.13124,Boston,02131,MA
356,100%,,23.0,4,Entire home/apt,2.0,1.0,2.0,148.0,$75.00,$300.00,1,1125,322,42.35987,-71.0672,Boston,02114,MA
357,96%,,95.0,4,Entire home/apt,1.0,1.0,2.0,167.0,$105.00,$500.00,29,1125,77,42.34,-71.0813,Boston,02118,MA
358,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1125,99,42.34503,-71.07666,Boston,02116,MA
359,99%,,88.0,5,Entire home/apt,2.0,1.0,2.0,300.0,$90.00,$0.00,91,1125,98,42.34364,-71.0769,Boston,02116,MA
360,100%,,1.0,3,Entire home/apt,2.0,2.0,2.0,225.0,$100.00,$300.00,3,90,74,42.374559999999995,-71.05978,Charlestown,02129,MA
361,,,1.0,4,Entire home/apt,2.0,1.0,1.0,95.0,,,5,1125,0,42.32499,-71.10549,Boston,02130,MA
362,100%,,1.0,2,Private room,1.0,1.0,1.0,80.0,$25.00,"$1,000.00",1,20,94,42.34206,-71.14395999999999,Boston,02135,MA
363,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1125,94,42.344190000000005,-71.07609000000001,Boston,02116,MA
364,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1125,142,42.34364,-71.07571999999999,Boston,02116,MA
365,,,1.0,2,Private room,1.0,1.0,1.0,70.0,,,1,1125,0,42.35157,-71.13165,Boston,02134,MA
366,100%,,2.0,2,Entire home/apt,0.0,1.0,2.0,250.0,$75.00,$500.00,3,365,34,42.33295,-71.04651,Boston,02127,MA
367,100%,,2.0,4,Entire home/apt,2.0,1.5,2.0,300.0,$100.00,"$1,000.00",3,60,201,42.36782,-71.05324,Boston,02113,MA
368,,,1.0,2,Entire home/apt,1.0,1.0,1.0,62.0,,,1,1125,0,42.343059999999994,-71.0872,Boston,02115,MA
369,,,2.0,4,Entire home/apt,2.0,2.0,2.0,198.0,,,5,1125,5,42.34339,-71.06976999999999,Boston,02118,MA
370,100%,,1.0,2,Private room,1.0,1.0,1.0,125.0,$50.00,$0.00,1,7,115,42.34661,-71.10466,Boston,02215,MA
371,,,2.0,2,Entire home/apt,1.0,1.0,1.0,115.0,$70.00,$100.00,3,9,4,42.341229999999996,-71.07725,Boston,02118,MA
372,,,1.0,2,Private room,1.0,2.0,1.0,69.0,$30.00,,1,1125,8,42.329159999999995,-71.101,Boston,02120,MA
373,99%,,678.0,5,Entire home/apt,2.0,2.0,3.0,186.0,$100.00,,28,1125,4,42.3445,-71.10204,Boston,02215,MA
374,,,1.0,5,Entire home/apt,2.0,2.0,3.0,350.0,,,1,1125,1,42.331379999999996,-71.04516,Boston,02127,MA
375,,,1.0,1,Private room,1.0,1.0,1.0,45.0,,,1,1125,0,42.343109999999996,-71.06897,Boston,02118,MA
376,96%,,9.0,2,Private room,1.0,1.0,1.0,69.0,$40.00,,2,90,206,42.361259999999994,-71.12532,Boston,02134,MA
377,100%,,3.0,1,Private room,1.0,1.0,1.0,88.0,,,6,92,154,42.29847,-71.11066,Boston,02130,MA
378,100%,,5.0,4,Private room,2.0,1.5,3.0,91.0,$30.00,$0.00,2,31,73,42.28658,-71.13554,Boston,02131,MA
379,100%,,1.0,2,Entire home/apt,1.0,1.0,1.0,270.0,$100.00,$400.00,3,1125,32,42.35001,-71.07757,Boston,02116,MA
380,,,1.0,2,Entire home/apt,1.0,1.0,1.0,260.0,$30.00,,2,4,0,42.34646,-71.10341,Boston,02215,MA
381,100%,,1.0,6,Entire home/apt,3.0,2.5,2.0,495.0,$210.00,"$1,000.00",14,30,15,42.35037,-71.07034,Boston,02116,MA
382,97%,,4.0,2,Private room,1.0,1.0,1.0,64.0,$0.00,$0.00,2,1125,124,42.331340000000004,-71.05695,Boston,02127,MA
383,,,1.0,2,Private room,1.0,1.0,1.0,100.0,,,3,1125,0,42.34475,-71.07026,Boston,02116,MA
384,100%,,1.0,2,Private room,1.0,1.0,1.0,75.0,$15.00,,3,1124,346,42.37619,-71.03354,Boston,02128,MA
385,96%,,9.0,2,Private room,1.0,1.0,1.0,69.0,$40.00,$0.00,30,150,170,42.36115,-71.12550999999999,Boston,02134,MA
386,,,1.0,2,Entire home/apt,1.0,1.0,1.0,150.0,$75.00,$0.00,1,90,97,42.33273,-71.04154,Boston,02127,MA
387,89%,,5.0,6,Entire home/apt,2.0,1.0,2.0,74.0,$100.00,$200.00,4,1125,79,42.281890000000004,-71.09363,Boston,02126,MA
388,99%,,678.0,3,Entire home/apt,1.0,1.0,2.0,127.0,$100.00,,3,1125,6,42.36373,-71.06815999999999,Boston,02114,MA
389,100%,,21.0,8,Entire home/apt,4.0,2.0,5.0,600.0,$200.00,$500.00,2,75,173,42.36043,-71.07134,Boston,02114,MA
